Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,playerid
Dean Kremer,BAL,0,7,0,13,13,53.2,7.88,4.19,2.85,0.297,66.00%,30.40%,19.50%,92.6,7.55,6.52,6.99,5.73,-0.3,19350
David Hess,MIA,0,1,0,1,1,1,0,0,27,0.5,0.00%,22.20%,75.00%,93,63,,45.17,13.23,-0.3,16130
Jordan Holloway,MIA,0,2,0,4,4,12,9,12,2.25,0.324,54.30%,37.80%,20.00%,94.8,10.5,,8.42,7.38,-0.4,20631
Edward Cabrera,MIA,0,3,0,7,7,26.1,9.57,6.49,2.05,0.286,69.90%,41.80%,27.30%,96.9,5.81,8.17,6.63,5.14,-0.4,21690
Jon Duplantier,ARI,0,3,0,4,4,13,8.31,5.54,3.46,0.326,45.50%,48.90%,33.30%,91.1,13.15,7.08,8.63,5.67,-0.4,19546
Caleb Smith,ARI,1,8,0,13,13,57,10.26,6.32,2.21,0.261,65.90%,29.20%,17.30%,91.3,6.95,,6.35,5.66,-0.4,14875
Griffin Jax,MIN,3,5,0,14,14,69.1,7.01,3.12,2.34,0.248,64.10%,32.40%,15.80%,92.8,6.1,,6.24,5.77,-0.5,20253
Ryan Weathers,SDP,2,5,0,18,18,69.1,6.49,3.38,2.21,0.304,70.40%,43.20%,20.70%,93.8,6.36,,6.17,5.07,-0.5,23796
Andrew Albers,MIN,1,2,0,3,3,12.1,4.38,4.38,4.38,0.302,79.50%,32.70%,37.50%,88.5,8.76,,10.22,6.19,-0.5,7853
Chase Anderson,PHI,2,4,0,9,9,36.1,6.69,4.21,2.48,0.264,68.90%,37.30%,19.20%,91.9,6.94,,6.91,5.86,-0.5,6895
Corbin Martin,ARI,0,3,0,3,3,9.1,7.71,8.68,4.82,0.259,60.00%,32.30%,38.50%,93.8,12.54,,11.63,7.13,-0.5,19884
JC Mejia,CLE,0,7,0,11,11,42.1,7.65,4.68,2.34,0.331,51.90%,47.90%,24.40%,92.9,9.78,,6.62,5.12,-0.5,20617
Logan Allen,CLE,1,7,0,11,11,44.1,6.09,3.25,2.44,0.287,58.30%,43.20%,22.60%,92.9,7.11,,6.62,5.21,-0.6,18555
Jerad Eickhoff,NYM,0,2,0,4,4,17,6.88,5.29,3.71,0.293,55.10%,26.60%,25.00%,90,9,,9.29,6.84,-0.6,12664
Kohei Arihara,TEX,2,4,0,10,10,40.2,5.31,2.88,2.43,0.27,66.50%,40.70%,21.20%,91.6,6.64,8.17,6.76,5.5,-0.6,27505
Ross Detwiler,MIA,0,1,0,5,5,7.2,10.57,3.52,8.22,0.333,61.00%,28.60%,50.00%,92.1,15.26,,14.26,5.61,-0.6,2859
Jake Arrieta,SDP,5,14,0,24,24,98.2,7.57,4.01,2.19,0.343,61.10%,43.40%,23.30%,90.8,7.39,6.24,6.17,4.85,-0.7,4153
Mike Foltynewicz,TEX,2,12,0,24,24,130,6.3,2.28,2.35,0.258,73.00%,36.20%,19.30%,94.2,5.54,,6.14,5.13,-0.8,10811
