Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
Dylan Bundy,LAA,2,9,0,19,19,85.2,7.98,3.26,1.89,0.276,64.00%,41.10%,18.20%,90.8,6.09,,5.42,4.73,0.1
Walker Buehler,LAD,16,4,0,33,33,207.2,9.19,2.25,0.82,0.247,80.90%,44.70%,10.10%,95.5,2.47,3.1,3.16,3.57,5.5
Julio Urias,LAD,20,3,0,32,32,185.2,9.45,1.84,0.92,0.272,76.20%,40.20%,9.40%,94,2.96,3.1,3.13,3.73,5
Clayton Kershaw,LAD,10,8,0,22,22,121.2,10.65,1.55,1.11,0.289,71.70%,48.50%,14.70%,90.7,3.55,3.17,3,2.87,3.4
Max Scherzer,LAD,7,0,0,11,11,68.1,11.72,1.05,0.66,0.267,80.40%,35.20%,6.80%,94.6,1.98,,1.96,2.89,2.9
Trevor Bauer,LAD,8,5,0,17,17,107.2,11.45,3.09,1.59,0.22,88.90%,33.50%,16.00%,94,2.59,3.45,4.03,3.69,1.8
Trevor Rogers,MIA,7,8,0,25,25,133,10.62,3.11,0.41,0.301,74.90%,40.10%,5.00%,94.6,2.64,3.39,2.55,3.54,4.2
Sandy Alcantara,MIA,9,15,0,33,33,205.2,8.8,2.19,0.92,0.27,72.40%,53.30%,13.30%,98.1,3.19,3.5,3.42,3.45,4.2
Pablo Lopez,MIA,5,5,0,20,20,102.2,10.08,2.28,0.96,0.301,79.70%,47.00%,13.30%,94,3.07,3.55,3.29,3.32,2.3
Zach Thompson,MIA,2,7,0,14,14,63.2,7.77,3.11,0.85,0.253,67.60%,43.90%,8.60%,92.3,3.25,,3.8,4.51,1.1
Corbin Burnes,MIL,11,5,0,28,28,167,12.61,1.83,0.38,0.309,75.70%,48.80%,6.10%,96.5,2.43,2,1.63,2.3,7.5
Brandon Woodruff,MIL,9,10,0,30,30,179.1,10.59,2.16,0.9,0.261,81.40%,41.50%,12.70%,96.5,2.56,3.3,2.96,3.05,4.7
Freddy Peralta,MIL,10,5,0,27,27,142.1,11.95,3.35,0.89,0.225,78.30%,32.90%,9.60%,93.3,2.85,,3.14,3.67,3.9
Eric Lauer,MIL,7,5,0,20,20,106.2,8.52,2.95,1.1,0.25,79.00%,36.20%,10.90%,92.5,3.04,,3.9,4.29,1.8
Adrian Houser,MIL,9,6,0,26,26,135.1,6.45,4.06,0.73,0.256,73.10%,57.70%,12.90%,94.1,3.33,,4.34,4.4,1.5
Jose Berrios,MIN,7,5,0,20,20,121.2,9.32,2.37,1.04,0.261,71.10%,43.60%,13.60%,94.3,3.48,,3.58,3.58,2.4
Kenta Maeda,MIN,6,5,0,21,21,106.1,9.56,2.71,1.35,0.316,69.30%,38.40%,14.40%,90.8,4.66,3.71,4.1,3.99,1.7
Michael Pineda,MIN,8,8,0,21,21,106.1,7.19,1.69,1.44,0.295,77.10%,40.10%,13.50%,90.9,3.72,,4.27,4.28,1.3
Bailey Ober,MIN,3,3,0,20,20,92.1,9.36,1.85,1.95,0.296,79.80%,33.10%,16.80%,92.4,4.19,4.57,4.56,4.01,1
J.A. Happ,MIN,5,6,0,19,19,98.1,7.05,2.84,1.92,0.332,64.00%,35.20%,14.40%,91.1,6.77,,5.42,5.26,0.1
Jacob deGrom,NYM,7,2,0,15,15,92,14.28,1.08,0.59,0.213,87.20%,44.00%,9.40%,99.1,1.08,1.54,1.24,1.61,4.9
Marcus Stroman,NYM,10,13,0,33,33,179,7.94,2.21,0.85,0.286,75.50%,50.80%,12.80%,92.9,3.02,4.33,3.49,3.57,3.4
Taijuan Walker,NYM,7,11,0,29,29,154.1,8.16,3.21,1.52,0.246,69.80%,42.20%,14.90%,94.6,4.43,,4.67,4.48,1.2
Tylor Megill,NYM,4,6,0,18,18,89.2,9.94,2.71,1.91,0.297,78.50%,42.40%,18.80%,94.7,4.52,3.84,4.69,3.92,0.6
